읍면동,버스탑승자수(1월),버스탑승자수(8월)
건입동,49873,59935
구좌읍,74276,86702
노형동,294504,347773
도두동,11652,13320
봉개동,39894,46926
삼도1동,68603,74856
삼도2동,58766,56328
삼양동,64546,73562
아라동,257359,287963
애월읍,154435,182420
연동,323164,374299
오라동,176387,199364
외도동,60016,65909
용담1동,61064,71839
용담2동,239049,261995
우도면,2147,3583
이도1동,174604,165156
이도2동,368820,406444
이호동,19807,24356
일도1동,45907,74985
일도2동,146960,164805
조천읍,121781,149827
추자면,4353,4827
한경면,21427,24410
한림읍,72144,88902
화북동,142901,156592
